187895588, Carlos López, 19, carlos.lópez@aragon.unam.mx, Semestre 8, Materias: Computación Cuántica, Gestión de Proyectos, Bioinformática, Procesamiento del Lenguaje Natural, Robótica, Promedio: 8.52
427145345, Pedro Ruiz, 20, pedro.ruiz@aragon.unam.mx, Semestre 5, Materias: Optimización, Ingeniería de Software, Análisis de Algoritmos, Inteligencia Artificial, Sistemas Distribuidos, Promedio: 5.09
381964365, Laura Gómez, 22, laura.gómez@aragon.unam.mx, Semestre 8, Materias: Robótica, Procesamiento del Lenguaje Natural, Bioinformática, Gestión de Proyectos, Computación Cuántica, Promedio: 7.15
741516698, Jorge Ramírez, 21, jorge.ramírez@aragon.unam.mx, Semestre 3, Materias: Bases de Datos, Cálculo Vectorial, Programación Orientada a Objetos, Estructuras de Datos, Matemáticas Discretas, Promedio: 7.46
231812971, Jorge Ramírez, 22, jorge.ramírez@aragon.unam.mx, Semestre 5, Materias: Sistemas Distribuidos, Inteligencia Artificial, Ingeniería de Software, Optimización, Análisis de Algoritmos, Promedio: 8.54
279373261, Roberto Morales, 19, roberto.morales@aragon.unam.mx, Semestre 2, Materias: Programación avanzada, Cálculo Integral, Física II, Estadística I, Álgebra Lineal, Promedio: 7.91
163960955, Jorge Ramírez, 18, jorge.ramírez@aragon.unam.mx, Semestre 4, Materias: Redes de Computadoras, Probabilidad, Algoritmos, Teoría de la Computación, Sistemas Operativos, Promedio: 6.35
991492056, Lucía Martínez, 21, lucía.martínez@aragon.unam.mx, Semestre 1, Materias: Cálculo Diferencial, Física I, Introducción a la programación, Matemáticas I, Química, Promedio: 8.04
400942925, Carlos López, 22, carlos.lópez@aragon.unam.mx, Semestre 4, Materias: Teoría de la Computación, Redes de Computadoras, Algoritmos, Sistemas Operativos, Probabilidad, Promedio: 5.22
224460445, Jorge Ramírez, 23, jorge.ramírez@aragon.unam.mx, Semestre 3, Materias: Matemáticas Discretas, Programación Orientada a Objetos, Bases de Datos, Cálculo Vectorial, Estructuras de Datos, Promedio: 6.35
580189066, Marta Gutiérrez, 23, marta.gutiérrez@aragon.unam.mx, Semestre 1, Materias: Física I, Matemáticas I, Química, Introducción a la programación, Cálculo Diferencial, Promedio: 9.61
997060266, Hugo Hernández, 22, hugo.hernández@aragon.unam.mx, Semestre 6, Materias: Teoría de Juegos, Seguridad Informática, Minería de Datos, Arquitectura de Computadoras, Computación Gráfica, Promedio: 5.45
699725288, María García, 19, maría.garcía@aragon.unam.mx, Semestre 6, Materias: Arquitectura de Computadoras, Minería de Datos, Seguridad Informática, Computación Gráfica, Teoría de Juegos, Promedio: 7.82
245747877, Fernando Torres, 19, fernando.torres@aragon.unam.mx, Semestre 2, Materias: Cálculo Integral, Física II, Álgebra Lineal, Estadística I, Programación avanzada, Promedio: 8.08
703948973, Elena Rivas, 19, elena.rivas@aragon.unam.mx, Semestre 9, Materias: Sistemas Embebidos, Blockchain, Análisis de Imágenes, Investigación Operativa, Ciberseguridad, Promedio: 7.65
701315326, Ana Fernández, 19, ana.fernández@aragon.unam.mx, Semestre 3, Materias: Matemáticas Discretas, Estructuras de Datos, Programación Orientada a Objetos, Cálculo Vectorial, Bases de Datos, Promedio: 8.71
356111325, Isabel Vázquez, 18, isabel.vázquez@aragon.unam.mx, Semestre 8, Materias: Gestión de Proyectos, Bioinformática, Robótica, Procesamiento del Lenguaje Natural, Computación Cuántica, Promedio: 9.15
515994140, María García, 18, maría.garcía@aragon.unam.mx, Semestre 5, Materias: Análisis de Algoritmos, Optimización, Ingeniería de Software, Inteligencia Artificial, Sistemas Distribuidos, Promedio: 9.6
169230431, Jorge Ramírez, 21, jorge.ramírez@aragon.unam.mx, Semestre 1, Materias: Física I, Introducción a la programación, Cálculo Diferencial, Química, Matemáticas I, Promedio: 9.5
201335626, Miguel Díaz, 21, miguel.díaz@aragon.unam.mx, Semestre 6, Materias: Computación Gráfica, Minería de Datos, Teoría de Juegos, Arquitectura de Computadoras, Seguridad Informática, Promedio: 9.33
242417605, María García, 19, maría.garcía@aragon.unam.mx, Semestre 4, Materias: Probabilidad, Redes de Computadoras, Algoritmos, Sistemas Operativos, Teoría de la Computación, Promedio: 7.46
889443574, Isabel Vázquez, 22, isabel.vázquez@aragon.unam.mx, Semestre 7, Materias: Aprendizaje Automático, Criptografía, Interfaces Hombre-Máquina, Visión por Computador, Desarrollo Web, Promedio: 7.39
581548245, Hugo Hernández, 23, hugo.hernández@aragon.unam.mx, Semestre 3, Materias: Bases de Datos, Programación Orientada a Objetos, Cálculo Vectorial, Matemáticas Discretas, Estructuras de Datos, Promedio: 5.37
805436188, Jorge Ramírez, 21, jorge.ramírez@aragon.unam.mx, Semestre 3, Materias: Estructuras de Datos, Programación Orientada a Objetos, Cálculo Vectorial, Matemáticas Discretas, Bases de Datos, Promedio: 5.71
282859778, Elena Rivas, 21, elena.rivas@aragon.unam.mx, Semestre 4, Materias: Sistemas Operativos, Algoritmos, Teoría de la Computación, Redes de Computadoras, Probabilidad, Promedio: 5.88
444793937, María García, 21, maría.garcía@aragon.unam.mx, Semestre 2, Materias: Programación avanzada, Física II, Álgebra Lineal, Estadística I, Cálculo Integral, Promedio: 8.25
748239996, Carmen Ortega, 19, carmen.ortega@aragon.unam.mx, Semestre 7, Materias: Aprendizaje Automático, Visión por Computador, Interfaces Hombre-Máquina, Criptografía, Desarrollo Web, Promedio: 6.96
301276909, Roberto Morales, 18, roberto.morales@aragon.unam.mx, Semestre 1, Materias: Introducción a la programación, Física I, Cálculo Diferencial, Química, Matemáticas I, Promedio: 9.09
754811196, Lucía Martínez, 21, lucía.martínez@aragon.unam.mx, Semestre 3, Materias: Cálculo Vectorial, Bases de Datos, Estructuras de Datos, Matemáticas Discretas, Programación Orientada a Objetos, Promedio: 5.26
347296573, Jorge Ramírez, 23, jorge.ramírez@aragon.unam.mx, Semestre 9, Materias: Análisis de Imágenes, Blockchain, Investigación Operativa, Ciberseguridad, Sistemas Embebidos, Promedio: 7.23
107169031, Luis Sánchez, 19, luis.sánchez@aragon.unam.mx, Semestre 8, Materias: Computación Cuántica, Gestión de Proyectos, Robótica, Bioinformática, Procesamiento del Lenguaje Natural, Promedio: 9.74
785697282, Fernando Torres, 23, fernando.torres@aragon.unam.mx, Semestre 2, Materias: Estadística I, Física II, Cálculo Integral, Programación avanzada, Álgebra Lineal, Promedio: 7.34
627196751, Roberto Morales, 18, roberto.morales@aragon.unam.mx, Semestre 1, Materias: Física I, Química, Introducción a la programación, Matemáticas I, Cálculo Diferencial, Promedio: 9.95
680907443, Elena Rivas, 19, elena.rivas@aragon.unam.mx, Semestre 1, Materias: Introducción a la programación, Física I, Cálculo Diferencial, Matemáticas I, Química, Promedio: 8.11
